song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
2HqpKpJvMrckAP9CPZHF7U,1969,A,0.831,0.575,0.196,0.000209,0.0558,-14.468,0.0393,0.248,83.495,65.0,singer,adult standards,1,12.686113235539965,12.868791545962207
2HrAvfx1IQcuGN2k6misBO,1985,A,0.0498,0.755,0.438,2.76e-06,0.0719,-13.623,0.033,0.766,126.015,35.0,-,unknown,0,12.207476659441202,6.802394763324311
2HsjJJL4DhPCzMlnaGv7ap,1986,B,0.152,0.661,0.909,0.00274,0.383,-2.705,0.0338,0.681,123.149,71.0,singer,rock,0,12.308755579663911,13.341441074323402
2HtFjMtFpWee0mUxaKOtEt,1993,F,2.98e-05,0.575,0.976,0.00278,0.0296,-5.971,0.0931,0.743,123.715,31.0,singer,electronic/dance,0,12.190827019314607,8.157943507105037
2Htzo9H8K5Kjf6tBoEUVS0,1972,C,0.000136,0.394,0.901,0.475,0.172,-2.834,0.0472,0.595,170.187,59.0,band,rock,0,12.330592934839222,12.939387206397235
2HvrMTzyHBRCeNyoMJfvHP,1971,D,0.656,0.451,0.768,0.0,0.181,-8.183,0.119,0.575,154.02,36.0,band,rock,1,12.130276325842603,8.960082528170402
2Hy84CuDtyzIiLgEWMFiXk,1988,"F♯, G♭",0.00249,0.617,0.749,0.00387,0.0613,-9.038,0.0348,0.71,124.04,28.0,band,funk,0,12.626889313142776,8.623892810075294
2Hyis7pyTBDyR3zq4GNZCu,1973,G,0.641,0.384,0.393,1.69e-06,0.0869,-7.959,0.0349,0.446,167.241,61.0,singer,adult standards,1,12.000695335759907,12.534757496159859
2HyrLPJTZ4qDpWJ6qnu0Ke,1983,A,0.473,0.772,0.679,0.0215,0.165,-10.47,0.0421,0.886,123.598,50.0,band,rock,0,12.850838078507277,11.5428046042479
2I07mm97gsZtLdF058b3OX,1966,D,0.000438,0.388,0.883,0.0,0.0926,-4.065,0.035,0.711,136.729,8.0,band,unknown,0,12.043247786887909,5.030437921392435
2I0O4qU0DVUvSCKLW0Bvs6,1992,B,0.422,0.623,0.7,3.12e-05,0.31,-7.9,0.0575,0.548,149.726,58.0,singer,pop,1,12.486986867661216,12.976372978401344
2I0haEEWYM6teEuBiiuTrd,1968,A,0.257,0.474,0.441,0.0,0.33,-12.564,0.0321,0.465,84.541,54.0,band,folk/indie,0,12.305257128701271,11.153747390813377
2I1rr3kX0iMyorP5HOBRbL,2009,C,0.018,0.717,0.659,0.0,0.0943,-5.706,0.0726,0.536,119.991,82.0,singer,pop,0,12.295675661320923,14.580505730273524
2I2Z3BMH3wjVVxNHcJG0kO,1974,C,0.237,0.553,0.38,0.0145,0.102,-15.631,0.0246,0.362,87.298,51.0,singer,blues,0,12.500982286072535,11.754451027139611
2I3dW2dCBZAJGj5X21E53k,2018,D,0.113,0.841,0.682,9.65e-05,0.131,-7.007,0.0458,0.338,94.985,70.0,-,hip hop/rap,0,12.409417489540521,12.712902296018818
2I5CPUnMIKjEXeg61OI9uV,2009,A,0.00098,0.502,0.938,0.0,0.318,-3.114,0.13,0.35,144.077,79.0,singer,pop,1,12.207811133483894,15.5008142823603
2I5ao7JannZZMlweLTz0hO,2016,"A♯, B♭",0.000171,0.494,0.885,0.0,0.114,-5.725,0.0326,0.471,75.992,84.0,singer,country,0,12.115715678289448,14.389617412809836
2I5l8CQz7qdJGWzIiQAg1j,1966,"G♯, A♭",0.498,0.543,0.341,0.0,0.413,-11.351,0.03,0.725,108.102,6.0,-,unknown,0,11.949462792632803,2.4849066497880004
2I7wlhRFEesckeIVxZTJL8,1980,C,0.323,0.512,0.311,2.56e-06,0.0539,-21.078,0.0275,0.445,97.85,58.0,singer,adult standards,0,12.450327771017268,12.530342159424212
2IBF9lQ9lgVai8LkskI5L7,2008,"C♯, D♭",0.00417,0.935,0.747,0.0,0.207,-4.231,0.391,0.736,117.613,68.0,rapper,hip hop/rap,1,12.321844771773925,12.80310532290445
2ID3rNM3hFBjqrLcV0Wr0y,1966,"A♯, B♭",0.861,0.205,0.141,0.0,0.115,-15.339,0.0307,0.144,88.043,79.0,-,adult standards,0,12.49590615198721,14.964938577004391
2IG6Te7JyvrtqhFeOF7le4,2017,A,0.0145,0.852,0.438,0.0,0.263,-7.673,0.426,0.627,150.945,90.0,singer,hip hop/rap,0,12.536921960257548,15.8930858593004
2IGElRIp8EMHH9dvaEpYCt,1981,"A♯, B♭",0.522,0.688,0.403,3.6e-06,0.0542,-13.047,0.0744,0.704,76.13,34.0,-,unknown,0,12.147972023245341,6.620073206530356
2IGcz5WLif7DUR8k2U8wPO,2007,A,0.0871,0.4,0.646,0.0,0.126,-8.066,0.259,0.267,208.078,53.0,singer,hip hop/rap,0,12.45890702920452,10.646091341808665
2IGr3q6ljcpLvHDFLtI0yW,2016,C,0.0552,0.786,0.583,1.84e-06,0.326,-7.415,0.0393,0.229,120.024,80.0,duo,hip hop/rap,0,12.337105293891872,15.450295307961301
2IHO9dXnPui6yBrRF5WkbT,1993,"G♯, A♭",0.359,0.513,0.478,0.00228,0.0961,-9.216,0.0318,0.183,83.217,65.0,band,adult standards,0,12.578191220325259,12.685915213286567
2II03llydk4YnkBBvoYB3B,1998,"C♯, D♭",0.662,0.602,0.616,0.0153,0.149,-10.917,0.0353,0.31,108.017,82.0,singer,pop,1,12.814026794907273,15.00887620477363
