song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
01U7AowXWVSzZ8K3LxAeED,1498,1973,247813,4,0,4,0.345,0.517,0.582,0.00132,0.0871,-6.055,0.0305,0.402,138.793,False,Solo,268791.0,62.0,duo,adult standards
01UYpHuzHi4eB9PAbDoPY2,1301,1972,203967,5,1,4,0.611,0.501,0.474,0.0298,0.0667,-10.041,0.0386,0.35,88.609,False,Solo,268791.0,62.0,duo,adult standards
01VFDkHBNJcCNUjzD3flWg,1028,1998,250560,5,0,4,0.0442,0.534,0.561,0.678,0.189,-11.089,0.0409,0.219,84.978,False,Solo,3298162.0,82.0,singer,dance pop
01WAKCnVJRRtAjVWvKUR2q,1042,1971,190133,6,1,4,0.63,0.324,0.453,0.000708,0.377,-10.845,0.0314,0.305,84.2,False,Solo,214826.0,62.0,-,adult standards
01XELYz10eYmxEJO5SdPLk,169,1972,191987,2,1,4,0.361,0.717,0.498,0.0,0.0798,-9.672,0.0495,0.891,99.822,False,Solo,2082.0,31.0,-,classic canadian rock
01XFgRZfZI7oBagNf1Loml,2210,2013,196664,0,1,4,0.0111,0.452,0.794,0.00182,0.416,-5.151,0.0483,0.282,137.825,False,Solo,144292.0,63.0,-,bass trap
01XVQFw2pG1mhyOeCNTrwD,775,1980,239013,2,1,4,0.0265,0.491,0.564,4.12e-06,0.892,-15.894,0.0728,0.334,140.252,False,Solo,7267.0,24.0,-,soft rock
01XhYI6Jdq3NOmgGrivwVE,732,1989,287373,11,0,4,0.217,0.745,0.879,5.89e-05,0.251,-7.662,0.0394,0.789,92.004,False,Collaboration,154.0,40.0,band,freestyle
01Ynfp1UOc9Tep3a25ySqX,209,2009,200547,7,1,4,0.00545,0.618,0.512,0.0,0.0868,-7.236,0.0622,0.235,128.977,True,Collaboration,8209221.0,91.0,singer,hip hop
01cQPNCptd662nikuY42zw,939,1971,310747,4,1,4,0.602,0.621,0.413,4.88e-06,0.145,-12.274,0.0348,0.338,139.491,False,Solo,237881.0,52.0,band,chicago soul
01cv0e6DdNlx3TkzzWfAHB,1399,1999,281926,2,1,4,0.0253,0.352,0.873,1.81e-06,0.89,-7.366,0.142,0.497,104.662,False,Solo,47272.0,46.0,band,cowpunk
01e8dGbulrphX8j3fZDQYk,1005,2014,279533,0,1,4,0.0917,0.615,0.723,0.000423,0.101,-6.506,0.0448,0.219,117.958,False,Solo,1904205.0,75.0,singer,contemporary country
01gc96njmCGB8VFS3wPKyC,503,1972,263573,7,1,4,0.689,0.371,0.184,0.000117,0.113,-13.646,0.0362,0.293,120.341,False,Solo,494788.0,66.0,-,brill building pop
01h0dh08fyqGPofJVCw08N,1030,1968,170107,2,1,4,0.151,0.508,0.513,0.0,0.12,-8.175,0.0314,0.224,98.207,False,Collaboration,79443.0,71.0,singer,motown
